,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
54,ScopeRules,australian_data,NA,0.911577315,0.045583418,0.858099501,0.062737052,0.912086653,0.045624774,0.858099501,0.062737052,0.907915959,0.049070469,0.858099501,0.062737052
55,Logistic Regression,mammo_data,1,0.855744121,0.049735518,0.805330304,0.048976142,0.855153315,0.051586668,0.798037959,0.049051441,0.845339452,0.054405164,0.800132257,0.050175239
56,Decision Tree,mammo_data,NA,0.83782994,0.050733821,0.804310115,0.044687013,0.829321267,0.052564096,0.797006805,0.040550368,0.832296751,0.046438281,0.791808758,0.048103277
57,ANN,mammo_data,NA,0.854176293,0.052131045,0.800142996,0.045665244,0.8544539,0.051535696,0.803268448,0.046676382,0.845385044,0.050390481,0.801217331,0.048051476
58,XGBoost,mammo_data,NA,0.847829568,0.048005839,0.796963624,0.053375996,0.847269899,0.049997458,0.797007031,0.050814913,0.84033471,0.048293332,0.801217557,0.045848622
59,ScopeRules,mammo_data,NA,0.832048083,0.050720768,0.766784342,0.041946213,0.832048083,0.050720768,0.766784342,0.041946213,0.83099319,0.048795598,0.76573171,0.041493253
60,Logistic Regression,new_german_data,0.5,0.782619048,0.036909063,0.74,0.025298221,0.78147619,0.036335206,0.739,0.023430749,0.76252381,0.041588662,0.729,0.027730849
61,Logistic Regression,new_heart_data,0.5,0.908367001,0.067089931,0.835517241,0.079926345,0.907474144,0.066586562,0.825732295,0.081061484,0.898104194,0.063928605,0.822398962,0.07329114
62,Logistic Regression,new_churn_data,0.5,0.842138421,0.018291126,0.801335713,0.013029364,0.842535225,0.018399959,0.802048366,0.012413755,0.840148671,0.021417016,0.799487907,0.016101874
63,Logistic Regression,new_icu_data,0.5,0.858408154,0.013907632,0.908604362,0.00648205,0.864056307,0.012856301,0.912086641,0.006695105,0.875816231,0.015090402,0.91463434,0.00638093
64,Logistic Regression,new_hribm_data,0.5,0.840034141,0.065032882,0.878227829,0.017108512,0.839265045,0.06617324,0.876904246,0.018901055,0.834762286,0.052647846,0.872109977,0.015446327
65,Logistic Regression,bank_data,0.5,0.785148504,0.012157888,0.899558255,0.003123967,0.791048076,0.012766667,0.899703927,0.003261374,0.792501667,0.01218181,0.900189505,0.00368883
66,Logistic Regression,new_spambase_data,0.5,0.954054773,0.007053628,0.895236987,0.013127195,0.954704776,0.006679097,0.895672711,0.015008343,0.95561756,0.007426094,0.899152864,0.013575959
67,Logistic Regression,mushroom_data,0.5,1,6.08E-17,0.999137475,0.001355634,1,0,0.999630086,0.001109741,1,0,1,0
68,Logistic Regression,new_breastcancer_data,0.5,0.993923108,0.006643693,0.963425838,0.025532486,0.993815968,0.006864683,0.966345701,0.02366005,0.995050963,0.005323665,0.972186065,0.024968182
69,Logistic Regression,adult_data,0.5,0.890638825,0.005606032,0.83713624,0.005771242,0.89102576,0.005552821,0.837842638,0.005242729,0.893356101,0.005857003,0.838641295,0.004901699
70,Logistic Regression,australian_data,0.5,0.91642767,0.047195359,0.865262453,0.056076012,0.918644704,0.046723958,0.860850079,0.06261339,0.917243154,0.042366055,0.863769334,0.065388657
71,Logistic Regression,mammo_data,0.5,0.856193439,0.04915399,0.806361232,0.0481738,0.855706499,0.05108779,0.799090591,0.050281576,0.849545655,0.050683434,0.80117415,0.047242112
72,Logistic Regression,new_german_data,0.1,0.760595238,0.037748158,0.721,0.034190642,0.760690476,0.037610525,0.721,0.034190642,0.758880952,0.042223094,0.74,0.02607681
73,Logistic Regression,new_heart_data,0.1,0.902298804,0.066563947,0.838865406,0.074158489,0.901975598,0.064114921,0.832191324,0.079321861,0.898739496,0.060726944,0.825409714,0.068902799
74,Logistic Regression,new_churn_data,0.1,0.8421398,0.018150039,0.799060965,0.01262824,0.842184726,0.018166572,0.800482631,0.011405914,0.842595785,0.018502196,0.800342203,0.012018211
75,Logistic Regression,new_icu_data,0.1,0.856954967,0.013889422,0.907839274,0.005661485,0.862276751,0.013100757,0.910132953,0.006582988,0.869984711,0.014300015,0.911661327,0.005712123
76,Logistic Regression,new_hribm_data,0.1,0.808493445,0.061621296,0.857171254,0.009648104,0.808232812,0.062577054,0.857166658,0.010183725,0.806104521,0.059311218,0.858536458,0.012047647
77,Logistic Regression,bank_data,0.1,0.785040312,0.012078748,0.899582556,0.003131099,0.790115271,0.012458373,0.899509741,0.003406867,0.793787672,0.011922377,0.899509747,0.003889719
78,Logistic Regression,new_spambase_data,0.1,0.94721888,0.007661782,0.884590938,0.013469557,0.949172114,0.007368676,0.885679789,0.013199832,0.949404211,0.008097899,0.887417023,0.012686068
79,Logistic Regression,mushroom_data,0.1,0.999986008,2.02E-05,0.998029857,0.001577035,0.999910569,0.00014541,0.998029857,0.001577035,0.999994544,9.56E-06,0.998029857,0.001577035
80,Logistic Regression,new_breastcancer_data,0.1,0.992469166,0.007135522,0.95903475,0.02423029,0.991057129,0.008411099,0.959013437,0.025956356,0.99533487,0.005248958,0.972207377,0.024072302
81,Logistic Regression,adult_data,0.1,0.89016743,0.005612016,0.83652197,0.005906311,0.890461186,0.00561767,0.837535512,0.005490824,0.892909854,0.00559299,0.839593271,0.005046273
82,Logistic Regression,australian_data,0.1,0.910105568,0.039018792,0.85513762,0.058830958,0.91689293,0.042527973,0.85513762,0.058830958,0.915209394,0.041932622,0.853709049,0.057890161
83,Logistic Regression,mammo_data,0.1,0.850559641,0.049087473,0.80223752,0.037651614,0.849897247,0.049316366,0.80223752,0.037651614,0.849943153,0.04778642,0.80223752,0.037651614
